,PubYear,lemmatized_Abstract,lemmatized_Title,text
456,1996,consider fluid system infinite storage capacity constant output rate offer superposition ofn identical source ratio input output rate small period heavy tail distribution infinite variance give rise long range dependence arrival process limit large number source high load show tail stationary content distribution weibullian imply much large content classical case exponential tail note similar result recently find storage system input fractional brownian motion show model relate thus provide physical motivation fractional brownian motion model,heavy traffic analysis storage model long range dependent source,consider fluid system infinite storage capacity constant output rate offer superposition ofn identical source ratio input output rate small period heavy tail distribution infinite variance give rise long range dependence arrival process limit large number source high load show tail stationary content distribution weibullian imply much large content classical case exponential tail note similar result recently find storage system input fractional brownian motion show model relate thus provide physical motivation fractional brownian motion model heavy traffic analysis storage model long range dependent source
457,1996,maximum likelihood estimator parameter singleserver derive base information wait time wtt ofn successive customer consistency asymptotic normality estimator establish simulation study singleserver singleserver present,maximum likelihood estimation singleserver wait time datum,maximum likelihood estimator parameter singleserver derive base information wait time wtt ofn successive customer consistency asymptotic normality estimator establish simulation study singleserver singleserver present maximum likelihood estimation singleserver wait time datum
458,1996,note consider fluid drive singleserver analyse system show stationary buffer content model easily analyse look embed time point approach give stationary buffer content distribution term modify bessel function first kind order use suitable integral representation bessel function show result coincide one,simple analysis fluid drive singleserver,note consider fluid drive singleserver analyse system show stationary buffer content model easily analyse look embed time point approach give stationary buffer content distribution term modify bessel function first kind order use suitable integral representation bessel function show result coincide one simple analysis fluid drive singleserver
459,1996,variant singleserver negative customer lead study random walk integer value bound distribute differently interior state space boundary generating function assume rational give simple closed form formula correspond representation datum suitable model alternative representation derivation discuss formula calculate length generating function singleserver negative customer negative customer remove ordinary customer end service service exponential arbitrarytime length distribution mixture geometrical distribution,wiener analysis singleserver negative customer related class random walk,variant singleserver negative customer lead study random walk integer value bound distribute differently interior state space boundary generating function assume rational give simple closed form formula correspond representation datum suitable model alternative representation derivation discuss formula calculate length generating function singleserver negative customer negative customer remove ordinary customer end service service exponential arbitrarytime length distribution mixture geometrical distribution wiener analysis singleserver negative customer related class random walk
460,1996,purpose paper investigate situation non cooperative dynamic control system agent different objective main part paper devote analyze problem admission service vacation control admission controller decide allow arrival occur empty server go vacation control vacation duration accord state past history immediate cost controller increase number customer convexity assumption make controller show stationary equilibrium policy pair controller use stationary threshold type policy randomization state investigate problem non sum stochastic game router several second controller allocate extra service capacity establish equilibrium policy pair router use intuitive short policy,non sum stochastic game admission service routing control system,purpose paper investigate situation non cooperative dynamic control system agent different objective main part paper devote analyze problem admission service vacation control admission controller decide allow arrival occur empty server go vacation control vacation duration accord state past history immediate cost controller increase number customer convexity assumption make controller show stationary equilibrium policy pair controller use stationary threshold type policy randomization state investigate problem non sum stochastic game router several second controller allocate extra service capacity establish equilibrium policy pair router use intuitive short policy non sum stochastic game admission service routing control system
461,1996,consider dam process general state dependent release rule pure jump input process jump size state dependent give sufficient condition process stationary version case jump size govern mark point process point palm stationary ergodic give special attention markov markov regenerative case main stability condition weaken study intermittent production process state dependent rate provide sufficient condition stability process show condition satisfy interesting new relationship exist stationary distribution process dam process type explore,dam process state dependent batch size intermittent production process state dependent rate,consider dam process general state dependent release rule pure jump input process jump size state dependent give sufficient condition process stationary version case jump size govern mark point process point palm stationary ergodic give special attention markov markov regenerative case main stability condition weaken study intermittent production process state dependent rate provide sufficient condition stability process show condition satisfy interesting new relationship exist stationary distribution process dam process type explore dam process state dependent batch size intermittent production process state dependent rate
462,1996,recent bellcore study show high speed datum traffic exhibit long range dependence characterize whereh traffic wake study much interest develop tractable analytical model traffic long range dependence performance evaluation traffic engineering norro use traffic model know fractional brownian motion several analytical result behavior arrival process paper new class result also base model reveal rather curious unexpected crossover property hurst parameter traffic regard effect behavior result together norro serve enhance understand significance hurst parameterh traffic engineering particular meempat use crossover property derive explain part gap exist result set bellcore study cast doubt usefulness markov traffic model method whenh furnish example successful traffic engineering markov method traffic know haveh result derive used estimate multiplexe gain achieve independent traffic source hurst parameterh combine transmission turn estimate yield guideline engineering atm link traffic long range dependence,new class performance result fractional brownian traffic model,recent bellcore study show high speed datum traffic exhibit long range dependence characterize whereh traffic wake study much interest develop tractable analytical model traffic long range dependence performance evaluation traffic engineering norro use traffic model know fractional brownian motion several analytical result behavior arrival process paper new class result also base model reveal rather curious unexpected crossover property hurst parameter traffic regard effect behavior result together norro serve enhance understand significance hurst parameterh traffic engineering particular meempat use crossover property derive explain part gap exist result set bellcore study cast doubt usefulness markov traffic model method whenh furnish example successful traffic engineering markov method traffic know haveh result derive used estimate multiplexe gain achieve independent traffic source hurst parameterh combine transmission turn estimate yield guideline engineering atm link traffic long range dependence new class performance result fractional brownian traffic model
463,1996,problem consider estimate tail stationary probability exponential server series arrival compute tail marginal length distribution second marginal first know classical result singleserver approach involve derive necessary sufficient condition path arrival virtual service process order get large size second largedeviation estimate probability path solve constrain optimization problem find likely path lead large size find stationary length distribution second exponentially decay tail obtain exact rate decay,stationary tail probability exponential server tandem renewal arrival,problem consider estimate tail stationary probability exponential server series arrival compute tail marginal length distribution second marginal first know classical result singleserver approach involve derive necessary sufficient condition path arrival virtual service process order get large size second largedeviation estimate probability path solve constrain optimization problem find likely path lead large size find stationary length distribution second exponentially decay tail obtain exact rate decay stationary tail probability exponential server tandem renewal arrival
464,1996,arrival process map contain markov modulate poisson process mmpp phase type renewal process special case convenient traffic model performance analysis asynchronous transfer mode atm network atm network packet fix length buffering memory switch node limited cell motivate study singleserver present compute stationary virtual waiting time distribution singleserver rational approximation deterministic service time distribution transform domain approximation include well know erlang distribution pad approximation propose use approximation solution system show reduce solution linear differential equation suitable boundary condition propose computational complexity independent storage capacityk show numerical example idea use pad approximation yield high accuracy tractable computational load even case large capacity,numerically efficient method singleserver rational approximation,arrival process map contain markov modulate poisson process mmpp phase type renewal process special case convenient traffic model performance analysis asynchronous transfer mode atm network atm network packet fix length buffering memory switch node limited cell motivate study singleserver present compute stationary virtual waiting time distribution singleserver rational approximation deterministic service time distribution transform domain approximation include well know erlang distribution pad approximation propose use approximation solution system show reduce solution linear differential equation suitable boundary condition propose computational complexity independent storage capacityk show numerical example idea use pad approximation yield high accuracy tractable computational load even case large capacity numerically efficient method singleserver rational approximation
465,1996,many problem management science solve analysis singleserver model paper zero outside unit circle denominator generating function model obtain explicit closed form solution equilibrium probability number customer system moment number customer system also study infinitely many zero unit circle approximation method use polynomial method yield correct value finite number probability number depend degree polynomial approximation,equilibrium probability calculation discrete time bulk model,many problem management science solve analysis singleserver model paper zero outside unit circle denominator generating function model obtain explicit closed form solution equilibrium probability number customer system moment number customer system also study infinitely many zero unit circle approximation method use polynomial method yield correct value finite number probability number depend degree polynomial approximation equilibrium probability calculation discrete time bulk model
466,1996,analyze poll system multiple station attend cycling server setup occur poll server customer present system appropriate modeling numerous manufacturing system analysis well develop literature provide exact analysis station model present approximation scheme determine mean station wait time model station show approximate model propose literature provide upper bound mean station wait time always yield upper bound extensive numerical test indicate simple average approximation scheme yield close estimate true mean station wait time average approximation procedure appear robust large range parameter value,state dependent setup time,analyze poll system multiple station attend cycling server setup occur poll server customer present system appropriate modeling numerous manufacturing system analysis well develop literature provide exact analysis station model present approximation scheme determine mean station wait time model station show approximate model propose literature provide upper bound mean station wait time always yield upper bound extensive numerical test indicate simple average approximation scheme yield close estimate true mean station wait time average approximation procedure appear robust large range parameter value state dependent setup time
467,1996,paper consider set individual singleserver variation arrival rate service rate partly explain covariate represent associated characteristic individual random error take account remain variation assume follow gamma distribution baye empirical baye procedure suggest make inference concern individual traffic intensity parameter apply several industrial problem,empirical bayesian analysis traffic intensity singleserver covariate,paper consider set individual singleserver variation arrival rate service rate partly explain covariate represent associated characteristic individual random error take account remain variation assume follow gamma distribution baye empirical baye procedure suggest make inference concern individual traffic intensity parameter apply several industrial problem empirical bayesian analysis traffic intensity singleserver covariate
468,1996,diffusion approximation prove class queuenetwork know entrant line first buffer first serve fbfs service discipline diffusion limit workload process martingale reflect brownian motion nonnegative orthant approximation recently use estimate performance measure entrant line fbfs discipline,diffusion approximation entrant line first buffer first serve priority discipline,diffusion approximation prove class queuenetwork know entrant line first buffer first serve fbfs service discipline diffusion limit workload process martingale reflect brownian motion nonnegative orthant approximation recently use estimate performance measure entrant line fbfs discipline diffusion approximation entrant line first buffer first serve priority discipline
469,1996,consider multiserver service station occasional interruption form alternate renewal process ofup anddown period show natural condition random measure process associate residual service customer regenerative strict sense study steady state characteristic particular show steady state distribution random measure convolution distribution independent random measure associate standard multiserver,multiserver alternate renewal breakdown,consider multiserver service station occasional interruption form alternate renewal process ofup anddown period show natural condition random measure process associate residual service customer regenerative strict sense study steady state characteristic particular show steady state distribution random measure convolution distribution independent random measure associate standard multiserver multiserver alternate renewal breakdown
470,1996,consider parallel singleserver single arrival split part part join different simple example fork model individual part receive service join back together though consider join part study model heavy traffic limit service rate slightly large arrival rate limit obtain asymptotically joint steady state length distribution symmetric case server identical distribution simple form non symmetric case derive several integral representation distribution evaluate integral asymptotically lead simple formula show basic qualitative structure joint distribution function,model diffusion approximation integral representation asymptotic,consider parallel singleserver single arrival split part part join different simple example fork model individual part receive service join back together though consider join part study model heavy traffic limit service rate slightly large arrival rate limit obtain asymptotically joint steady state length distribution symmetric case server identical distribution simple form non symmetric case derive several integral representation distribution evaluate integral asymptotically lead simple formula show basic qualitative structure joint distribution function model diffusion approximation integral representation asymptotic
471,1996,paper consider multiplexe independent stochastic fluid source single buffer rate source generate fluid assume modulate markov regenerative process develop exponential decay rate tail steady state distribution buffer content also develop expression effective widthband source result term frobenius matrix define markov regenerative source special case derive similar result regenerative source apply result video source,effective widthband markov regenerative source,paper consider multiplexe independent stochastic fluid source single buffer rate source generate fluid assume modulate markov regenerative process develop exponential decay rate tail steady state distribution buffer content also develop expression effective widthband source result term frobenius matrix define markov regenerative source special case derive similar result regenerative source apply result video source effective widthband markov regenerative source
472,1996,paper present exact asymptotic steady state behavior broad class single first show asymptotic probability function derive use largedeviation theory consistent certain sense result use dominant pole approximation present exact asymptotic formula cumulative probability function occupancy relate cell loss ratio important performance measure service system atm network analysis rely new generalization coefficient complex function call characteristic coefficient finally apply framework obtain new result singleserver system intricate multiclass multiserver system,asymptotic behavior system largedeviation theory dominant pole approximation,paper present exact asymptotic steady state behavior broad class single first show asymptotic probability function derive use largedeviation theory consistent certain sense result use dominant pole approximation present exact asymptotic formula cumulative probability function occupancy relate cell loss ratio important performance measure service system atm network analysis rely new generalization coefficient complex function call characteristic coefficient finally apply framework obtain new result singleserver system intricate multiclass multiserver system asymptotic behavior system largedeviation theory dominant pole approximation
473,1996,concept burstiness propose new descriptor arrival process generally point traffic process say arrival process aburst time less equal threshold value period interarrival time great threshold value process agap propose describe arrival process term number arrival burst gap duration burst gap case discrete time arrival process derive distribution number arrival burst gap mean duration burst gap present numerical result illustrate descriptor use understand behavior arrival process congestion induce system also report result experiment show statistical relationship descriptor measure congestion,descriptor arrival process burstiness application discrete markov arrival process,concept burstiness propose new descriptor arrival process generally point traffic process say arrival process aburst time less equal threshold value period interarrival time great threshold value process agap propose describe arrival process term number arrival burst gap duration burst gap case discrete time arrival process derive distribution number arrival burst gap mean duration burst gap present numerical result illustrate descriptor use understand behavior arrival process congestion induce system also report result experiment show statistical relationship descriptor measure congestion descriptor arrival process burstiness application discrete markov arrival process
474,1996,theory theorem frequently use apply lead quickly tangible result concern ergodicity performance analysis complicated model sometimes difficult verify condition need apply theorem natural question arise dispense theorem particular ergodicity condition know present study consider singleserver type problem model couple random walk show fully analyse use know relevant functional equation unique solution prescribe regularity property,role analysis,theory theorem frequently use apply lead quickly tangible result concern ergodicity performance analysis complicated model sometimes difficult verify condition need apply theorem natural question arise dispense theorem particular ergodicity condition know present study consider singleserver type problem model couple random walk show fully analyse use know relevant functional equation unique solution prescribe regularity property role analysis
475,1996,paper present analysis generalize order independent loss serve customer belong different type class limit place number customer type present system prove satisfy partial balance present stationary distribution loss use model blocking system simultaneous resource possession option block customer loss thus extend previous loss model customer reject processing resource available,order independent loss,paper present analysis generalize order independent loss serve customer belong different type class limit place number customer type present system prove satisfy partial balance present stationary distribution loss use model blocking system simultaneous resource possession option block customer loss thus extend previous loss model customer reject processing resource available order independent loss
476,1996,analyze model system customer continuous contact server call request service server free customer enter service immediately server occupied unsatisfied customer break contact reapply service later type customer present reapply first transit customer arrive outside accord poisson process find server busy join source unsatisfied customer call orbit accord exponential distribution reapply service find server free leave system completion service secondly number recurrent customer present reapply service accord different exponential distribution immediately back orbit completion service assume general service time distribution calculate several characterstic quantity system constant rate reapplying service case customer discourage reduce rate demand customer join orbit,single line recurrent repeat demand,analyze model system customer continuous contact server call request service server free customer enter service immediately server occupied unsatisfied customer break contact reapply service later type customer present reapply first transit customer arrive outside accord poisson process find server busy join source unsatisfied customer call orbit accord exponential distribution reapply service find server free leave system completion service secondly number recurrent customer present reapply service accord different exponential distribution immediately back orbit completion service assume general service time distribution calculate several characterstic quantity system constant rate reapplying service case customer discourage reduce rate demand customer join orbit single line recurrent repeat demand
477,1996,introduce simple approach modeling analyze random single buffer correlate input process consider variation single buffer system conventional system buffer relaxation system conventional system customer reside time buffer relaxation system buffer become available new customer soon current customer serve previous study concentrate conventional single buffer system independent poisson process input process show system require solution ofm linear equation symmetric system require solution linear equation number station system conventional system buffer relaxation system give exact solution general case show analysis require solution linear equation symmetric case obtain explicit expression several performance measure system performance measure include mean second moment cycle time loss probability throughput expect delay observed customer,exact analysis random poll single buffer correlate input process,introduce simple approach modeling analyze random single buffer correlate input process consider variation single buffer system conventional system buffer relaxation system conventional system customer reside time buffer relaxation system buffer become available new customer soon current customer serve previous study concentrate conventional single buffer system independent poisson process input process show system require solution ofm linear equation symmetric system require solution linear equation number station system conventional system buffer relaxation system give exact solution general case show analysis require solution linear equation symmetric case obtain explicit expression several performance measure system performance measure include mean second moment cycle time loss probability throughput expect delay observed customer exact analysis random poll single buffer correlate input process
478,1996,system preemptive loss priority discipline customer disappear system immediately service preempted arrival customer high priority system model case old request low priority worthy deferred service paper concern preemptive loss priorityqueue customer priority class arrive poisson process general service time distribution strict preemption exist model extend allow preemption distance parameterd arrive customer class throughp preempt service customer classp obtain closed form expression mean wait time sojourn time size distribution class together numerical example also consider similar system server vacation,analysis preemptive loss priorityqueue preemption distance,system preemptive loss priority discipline customer disappear system immediately service preempted arrival customer high priority system model case old request low priority worthy deferred service paper concern preemptive loss priorityqueue customer priority class arrive poisson process general service time distribution strict preemption exist model extend allow preemption distance parameterd arrive customer class throughp preempt service customer classp obtain closed form expression mean wait time sojourn time size distribution class together numerical example also consider similar system server vacation analysis preemptive loss priorityqueue preemption distance
479,1996,paper high order approximation singleserver tandem queuenetwork propose study different popular moment base approximation literature high order approximation use high moment service distribution evaluate performance measure queuenetwork build maclaurin series analysis method recently develop analyze single node idea decomposition use high order moment match distribution approximation computationally flexible many moment service distribution desire produce corresponding moment wait interdeparture time therefore also use study several interesting issue arise study queuenetwork approximation effect high moment correlation numerical result singleserver tandem queuenetwork show approximation well moment base approximation case,high order approximation queuenetwork,paper high order approximation singleserver tandem queuenetwork propose study different popular moment base approximation literature high order approximation use high moment service distribution evaluate performance measure queuenetwork build maclaurin series analysis method recently develop analyze single node idea decomposition use high order moment match distribution approximation computationally flexible many moment service distribution desire produce corresponding moment wait interdeparture time therefore also use study several interesting issue arise study queuenetwork approximation effect high moment correlation numerical result singleserver tandem queuenetwork show approximation well moment base approximation case high order approximation queuenetwork
480,1996,consider chain exponential queuenetwork large number customer consist infinite server station processor share fcfs singleserver station asymptotic behavior partition function study network fcfs node heavily load result derive use method complex analysis theory homology residue saddle point method,asymptotic analysis close multichain queuenetwork bottleneck,consider chain exponential queuenetwork large number customer consist infinite server station processor share fcfs singleserver station asymptotic behavior partition function study network fcfs node heavily load result derive use method complex analysis theory homology residue saddle point method asymptotic analysis close multichain queuenetwork bottleneck
481,1996,consider discrete storage process modulate environmental process environmental process cause interruption input output process discrete storage process due difficulty encounter exact analysis discrete storage system often flow fluid flow model modulate environmental process propose approximation system analysis poisson flow fluid flow model much easy discrete storage process paper give sufficient condition content discrete storage process bound poisson flow fluid flow model example show poisson flow model fluid flow model develop sondhi use bind performance infinite finite source packetize voice datum communication system also show flow model fluid flow model develop mitra use bind buffer content stage automatic transfer line potential bounding technique present paper course transcend well example,discrete storage process poisson flow fluid flow approximation,consider discrete storage process modulate environmental process environmental process cause interruption input output process discrete storage process due difficulty encounter exact analysis discrete storage system often flow fluid flow model modulate environmental process propose approximation system analysis poisson flow fluid flow model much easy discrete storage process paper give sufficient condition content discrete storage process bound poisson flow fluid flow model example show poisson flow model fluid flow model develop sondhi use bind performance infinite finite source packetize voice datum communication system also show flow model fluid flow model develop mitra use bind buffer content stage automatic transfer line potential bounding technique present paper course transcend well example discrete storage process poisson flow fluid flow approximation
482,1996,discrete time system tandem exogenous arrival departure stage consider customer leave queuek depart system probability continue queuek probability exogenous arrival stage iid time slot approximate analysis occupancy busy period distribution stage base general busy period batch memoryless geometric idle period renewal process gbmip provide improved performance state markov approximation give exact result interstage departure,discrete time arrival departure stage,discrete time system tandem exogenous arrival departure stage consider customer leave queuek depart system probability continue queuek probability exogenous arrival stage iid time slot approximate analysis occupancy busy period distribution stage base general busy period batch memoryless geometric idle period renewal process gbmip provide improved performance state markov approximation give exact result interstage departure discrete time arrival departure stage
483,1996,study coordination production quality control tandem system stage singleserver stage engage processing item inspect produce item stay idle second stage represent aggregate rest production facility focus optimal control first stage production inspection time follow general distribution formulate decision program long run average objective derive stationary optimal policy control coordinate production inspection idle process show exist threshold valuei optimal policy threshold reach production suspend first stage lead naturally toi required buffer capacity stage,coordinate production inspection tandem system,study coordination production quality control tandem system stage singleserver stage engage processing item inspect produce item stay idle second stage represent aggregate rest production facility focus optimal control first stage production inspection time follow general distribution formulate decision program long run average objective derive stationary optimal policy control coordinate production inspection idle process show exist threshold valuei optimal policy threshold reach production suspend first stage lead naturally toi required buffer capacity stage coordinate production inspection tandem system
484,1996,consider problem schedule multi class network singleserver service node constant equal model potential application automate manufacturing system packet switch communication network message divide packet cell fix length network series type assembly transfer line exception additional class job require process first class hold cost unit time proportional total number customer system objective minimize expect total discount hold cost finite infinite horizon show optimal policy give priority class job node least set ofm inequalitie partial sum component state vector satisfy solve problem method first involve formulate problem discrete time markov decision process use induction horizon length second sample path approach use interchange argument establish optimality,scheduling multi class series deterministic service time,consider problem schedule multi class network singleserver service node constant equal model potential application automate manufacturing system packet switch communication network message divide packet cell fix length network series type assembly transfer line exception additional class job require process first class hold cost unit time proportional total number customer system objective minimize expect total discount hold cost finite infinite horizon show optimal policy give priority class job node least set ofm inequalitie partial sum component state vector satisfy solve problem method first involve formulate problem discrete time markov decision process use induction horizon length second sample path approach use interchange argument establish optimality scheduling multi class series deterministic service time
485,1996,problem poisson arrival identical parallel erlang server analyze case shortest expect delay routing problem represent random walk integer grid first quadrant plane important aspect random walk possible make large jump direction boundary feature give rise complicated boundary behavior generate function approach analyze type random walk seem extremely complicated successful approach present paper directly solve equilibrium equation show equilibrium distribution random walk write infinite linear combination product linear combination construct compensation procedure start solution procedure find solve shortest expect delay problem instantaneous jockeying result use efficient computation performance criterion wait time distribution moment wait time length,shortest expect delay route erlang server,problem poisson arrival identical parallel erlang server analyze case shortest expect delay routing problem represent random walk integer grid first quadrant plane important aspect random walk possible make large jump direction boundary feature give rise complicated boundary behavior generate function approach analyze type random walk seem extremely complicated successful approach present paper directly solve equilibrium equation show equilibrium distribution random walk write infinite linear combination product linear combination construct compensation procedure start solution procedure find solve shortest expect delay problem instantaneous jockeying result use efficient computation performance criterion wait time distribution moment wait time length shortest expect delay route erlang server
486,1996,consider markov model finite number state productform solution steady state probability distribution start integral representation partition function complex space construct error bound asymptotic expansion obtain saddle point method derivation error bound base idea applicable integral transform exponentially decay kernel bound express term supremum certain function asymptotic absolute value first neglect term expansion large parameter approach infinity application error bound illustrate class model loss system single chain close queuenetwork,error bound asymptotic approximation partition function,consider markov model finite number state productform solution steady state probability distribution start integral representation partition function complex space construct error bound asymptotic expansion obtain saddle point method derivation error bound base idea applicable integral transform exponentially decay kernel bound express term supremum certain function asymptotic absolute value first neglect term expansion large parameter approach infinity application error bound illustrate class model loss system single chain close queuenetwork error bound asymptotic approximation partition function
487,1996,paper discuss class singleserver model service time customer depend number customer serve current busy period particularly suited application server kind learn ability warm gradually present simple computationally tractable scheme recursively determine stationary probability length performance measure laptransform busy period also obtain firstn exceptional service model consider special case close formula generating function stationary length distribution numerical example also provide,singleserver smart machine,paper discuss class singleserver model service time customer depend number customer serve current busy period particularly suited application server kind learn ability warm gradually present simple computationally tractable scheme recursively determine stationary probability length performance measure laptransform busy period also obtain firstn exceptional service model consider special case close formula generating function stationary length distribution numerical example also provide singleserver smart machine
488,1996,input output process say rate stable non negative functiont prove processz rate stable weak condition include assumption input satisfie linear burstiness condition asymptotically average stable many case interest condition rate stability verify input datum example use input information establish rate stability workload multiserver atm multiplexer rate stability length process infinite server,rate stability input output process,input output process say rate stable non negative functiont prove processz rate stable weak condition include assumption input satisfie linear burstiness condition asymptotically average stable many case interest condition rate stability verify input datum example use input information establish rate stability workload multiserver atm multiplexer rate stability length process infinite server rate stability input output process
489,1996,note concerned identification wiener hopf factor function generate aperiodic distribution integer negative mean general rational case address give concise summary main practical fact need calculation involve wiener hopf factor basic fact cite literature aspect briefly prove,identification wiener hopf factor,note concerned identification wiener hopf factor function generate aperiodic distribution integer negative mean general rational case address give concise summary main practical fact need calculation involve wiener hopf factor basic fact cite literature aspect briefly prove identification wiener hopf factor
490,1996,problem transient solution denumerable state markov process mp solve derive efficient algorithm uniform error however state space dimension even computational method deal stationary solution case dimension infinite other finite study paper study transient solution denumerable state mp give uniform error numerical result present,transient solution denumerable state markov process,problem transient solution denumerable state markov process mp solve derive efficient algorithm uniform error however state space dimension even computational method deal stationary solution case dimension infinite other finite study paper study transient solution denumerable state mp give uniform error numerical result present transient solution denumerable state markov process
491,1996,paper consider singleserver arrival general service distribution service distribution change cyclically accord customer sequence number model extend previous study use cyclic exponential service time treatment general service distribution first stationary probability generating function average number customer system find single vacation system limited service policy server go vacation serve consecutive customer analyze particular case model also increase flexibility use singleserver cyclic service time optimization problem approximation approach introduce order obtain average number customer system finally use approximation limited service policy single vacation system obtain,singleserver cyclic service time,paper consider singleserver arrival general service distribution service distribution change cyclically accord customer sequence number model extend previous study use cyclic exponential service time treatment general service distribution first stationary probability generating function average number customer system find single vacation system limited service policy server go vacation serve consecutive customer analyze particular case model also increase flexibility use singleserver cyclic service time optimization problem approximation approach introduce order obtain average number customer system finally use approximation limited service policy single vacation system obtain singleserver cyclic service time
492,1996,service system often batch arrival batch service paper focus number busy server wait customer multiserver system number busy server obtain recursive relation partial binomial moment term matrix explicit expression marginal binomial moment special case also discuss provide heuristic understanding model,length multiserver service system,service system often batch arrival batch service paper focus number busy server wait customer multiserver system number busy server obtain recursive relation partial binomial moment term matrix explicit expression marginal binomial moment special case also discuss provide heuristic understanding model length multiserver service system
493,1996,close exponential tandem customer serve server consider give number customer line server derive probability distribution wait time customer second service complete total busy time system,non stationary waiting time close exponential tandem,close exponential tandem customer serve server consider give number customer line server derive probability distribution wait time customer second service complete total busy time system non stationary waiting time close exponential tandem
495,1996,paper present nonparametric method select reliable population reliability life testing propose new transitional order statistic give natural selection rule base statistic propose selection rule probability correct selection calculate define nonlinear indifference zone least favorable configuration finally present example illustrate selection procedure validate result,nonparametric approach select reliable population,paper present nonparametric method select reliable population reliability life testing propose new transitional order statistic give natural selection rule base statistic propose selection rule probability correct selection calculate define nonlinear indifference zone least favorable configuration finally present example illustrate selection procedure validate result nonparametric approach select reliable population
