DOI,Title,Abstract,PubYear,Publication Date (print),Volume,Issue,Pagination,Authors Affiliations,Research Organizations - standardized,Times cited,Recent citations,Altmetric,SN Downloads
10.1007/bf01158638,Design of manufacturing systems using queueing models,"Design issues in various types of manufacturing systems such as flow lines, automatic transfer lines, job shops, flexible machining systems, flexible assembly systems and multiple cell systems are addressed in this paper. Approaches to resolving these design issues of these systems using queueing models are reviewed. In particular, we show how the structural properties that are recently derived for single and multiple stage queueing systems can be used effectively in the solution of certain design optimization problems.",1992,1992-03,12,2-Jan,135-213,"Buzacott, John A. (York University); Shanthikumar, J. George (University of California, Berkeley)","University of California, Berkeley; York University",72,2,,735
10.1007/bf01159286,"Stability, monotonicity and invariant quantities in general polling systems","Consider a polling system withK≥1 queues and a single server that visits the queues in a cyclic order. The polling discipline in each queue is of general gated-type or exhaustive-type. We assume that in each queue the arrival times form a Poisson process, and that the service times, the walking times, as well as the set-up times form sequences of independent and identically distributed random variables. For such a system, we provide a sufficient condition under which the vector of queue lengths is stable. We treat several criteria for stability: the ergodicity of the process, the geometric ergodicity, and the geometric rate of convergence of the first moment. The ergodicity implies the weak convergence of station times, intervisit times and cycle times. Next, we show that the queue lengths, station times, intervisit times and cycle times are stochastically increasing in arrival rates, in service times, in walking times and in setup times. The stability conditions and the stochastic monotonicity results are extended to the polling systems with additional customer routing between the queues, as well as bulk and correlated arrivals. Finally, we prove that the mean cycle time, the mean intervisit time and the mean station times are invariant under general service disciplines and general stationary arrival and service processes.",1992,1992-03,11,2-Jan,35-57,,,67,0,,103
10.1007/bf01158637,A review of open queueing network models of manufacturing systems,"In this paper we review open queueing network models of manufacturing systems. The paper consists of two parts. In the first part we discuss design and planning problems arising in manufacturing. In doing so we focus on those problems that are best addressed by queueing network models. In the second part of the paper we describe developments in queueing network methodology. We are primarily concerned with features such as general service times, deterministic product routings, and machine failures — features that are prevalent in manufacturing settings. Since these features have eluded exact analysis, approximation procedures have been proposed. In the second part of this paper we review the developments in approximation procedures and highlight the assumptions that underlie these approaches.",1992,1992-03,12,2-Jan,95-133,"Bitran, Gabriel R. (Massachusetts Institute of Technology); Dasu, Sriram (University of California, Los Angeles)","Massachusetts Institute of Technology; University of California, Los Angeles",64,4,,389
10.1007/bf01159285,Stability of token passing rings,"A sufficient stability condition for the standard token passing ring has been “known” since the seminal paper by Kuehn in 1979. However, this condition was derived without formal proof, and the proof seems to be of considerable interest to the research community. In fact, Watson observed that in the performance evaluation of token passing rings, “it is convenient to derive stability conditions ... (without proof)”. Our intention is to fill this gap, and to provide a formal proof of thesufficient and necessary stability condition for the token passing ring. In this paper, we present the case when the arrival process to each queue is Poisson but service times and switchover times are generally distributed. We consider in depth a gatedl-limited (l≤ ∞) service discipline for each station. We also indicate that the basic steps of our technique can be used to study the stability of some other multiqueue systems.",1992,1992-03,11,2-Jan,Jul-33,"Georgiadis, Leonidas (IBM Research - Thomas J. Watson Research Center); Szpankowski, Wojciech (Purdue University System)",Purdue University System; IBM Research - Thomas J. Watson Research Center,51,3,,58
10.1007/bf01158810,Monotone control of queueing networks,"This paper uses submodularity to obtain monotonicity results for a class of Markovian queueing network service rate control problems. Nonlinear costs of queueing and service are allowed. In contrast to Weber and Stidham [14], our monotonicity theorem considers arbitrary directions in the state space (not just control directions), arrival routing problems, and certain uncontrolled service rates. We also show that, without service costs, transition-monotone controls can be described by simple control regions and switching functions. The theory is applied to queueing networks that arise in a manufacturing system that produces to a forecast of customer demand, and also to assembly and disassembly networks.",1992,1992-09,12,4-Mar,391-408,"Veatch, Michael H. (Massachusetts Institute of Technology); Wein, Lawrence M. (Massachusetts Institute of Technology)",Massachusetts Institute of Technology,46,1,,151
10.1007/bf01159291,A queueing network with a single cyclically roving server,"A queueingnetwork that is served by asingle server in a cyclic order is analyzed in this paper. Customers arrive at the queues from outside the network according to independent Poisson processes. Upon completion of his service, a customer mayleave the network, berouted to another queue in the network orrejoin the same queue for another portion of service. The single server moves through the different queues of the network in a cyclic manner. Whenever the server arrives at a queue (polls the queue), he serves the waiting customers in that queue according to some service discipline. Both the gated and the exhaustive disciplines are considered. When moving from one queue to the next queue, the server incurs a switch-over period. This queueing network model has many applications in communication, computer, robotics and manufacturing systems. Examples include token rings, single-processor multi-task systems and others. For this model, we derive the generating function and the expected number of customers present in the network queues at arbitrary epochs, and compute the expected values of the delays observed by the customers. In addition, we derive the expected delay of customers that follow a specific route in the network, and we introduce pseudo-conservation laws for this network of queues.",1992,1992-03,11,2-Jan,121-144,"Sidi, Moshe (Technion – Israel Institute of Technology); Levy, Hanoch (Tel Aviv University); Fuhrmann, Steve W. (IBM Research - Zurich)",IBM Research - Zurich; Tel Aviv University; Technion – Israel Institute of Technology,46,0,,150
10.1007/bf01193324,Asymptotic expansions for waiting time probabilities in an M/G/1 queue with long-tailed service time,We consider an M/G/1 queue with FCFS queue discipline. We present asymptotic expansions for tail probabilities of the stationary waiting time when the service time distribution is longtailed and we discuss an extension of our methods to the M[x]/G/1 queue with batch arrivals.,1992,1992-12,10,4,295-311,"Willekens, E. (Eindhoven University of Technology); Teugels, J. L. (KU Leuven)",Eindhoven University of Technology; KU Leuven,38,0,3,101
10.1007/bf01163999,Empirical Bayes estimation for queueing systems and networks,"Empirical Bayes estimators are derived for standard M/M/1 queues, M/M/1 queues with state-dependent arrival and service rates, finite capacity M/M/1 queues with state-dependent rates and for open Jackson networks. The asymptotic properties of the empirical Bayes estimators are derived both with respect to the conditional distribution of the observations given the parameters, and with respect to the joint distribution of the observations and the parameters.",1992,1992-09,11,3,179-202,"Thiruvaiyaru, Dharma (University of Georgia); Basawa, Ishwar V. (University of Georgia)",University of Georgia,31,4,,96
10.1007/bf01158805,Properties of serial kanban systems,"In this paper we show some structural results of a kanban system by using results about the underlying GSMP. The main results from this connection are: dominance of allocations, optimal partition, upper and lower bounds on throughput, consistency of the IPA derivative, convexity of throughput as a function of service time parameters and concavity of throughput with respect to number of kanbans. Although the dominance and the partition results were obtained previously by sample path arguments, the proofs here are less cumbersome and generalize the earlier results. The second-order properties for kanban lines are new. These results form a basis for results in multi-product lines where proofs by sample paths require extensive notation.",1992,1992-09,12,4-Mar,297-318,"Tayur, Sridhar R. (Carnegie Mellon University)",Carnegie Mellon University,31,1,3,128
10.1007/bf01159290,A decomposition result for a class of polling models,"Boxma and Groenendijk have shown that the workload in polling models decomposes into two independent variables. This paper demonstrates a different type of decomposition that has an explicit multi-dimensional form. This decomposition does not apply to all polling models, but does, for example, apply to models with constant switch-over times and either exhaustive or gated service disciplines. For such models, we show that the population of customers present in the system (represented by a vector indicating the number of customers at each queue) at key time points breaks into two independent subpopulations: (1) the population of customers present in the related model with zero switch-over times; (2) another population, which is particularly easy to analyze. This result has a number of theoretical and applied implications.",1992,1992-03,11,2-Jan,109-120,"Fuhrmann, S. W. (IBM Research - Zurich)",IBM Research - Zurich,27,1,,71
10.1007/bf01159205,Transient and busy period analysis of the GI/G/1 queue: The method of stages,"In this paper we study the transient behavior of the MGEL/MGEM/1 queueing system, where MGE is the class of mixed generalized Erlang distributions which can approximate an arbitrary distribution. We use the method of stages combined with the separation of variables and root finding techniques together with linear and tensor algebra. We find simple closed form expressions for the Laplace transforms of the queue length distribution and the waiting time distribution under FCFS when the system is initially empty and the busy period distribution. We report computational results by inverting these expressions numerically in the time domain. Because of the simplicity of the expressions derived our algorithm is very fast and robust.",1992,1992-09,10,3,153-184,"Bertsimas, Dimitris J. (Massachusetts Institute of Technology); Nakazato, Daisuke (Massachusetts Institute of Technology)",Massachusetts Institute of Technology,24,1,,121
10.1007/bf01159288,On Elevator polling with globally gated regime,"We consider a polling system consisting ofN queues and a single server where polling is performed according to anElevator (scan) scheme. The server first serves queues in the “up” direction, i.e. in the order 1, 2,...,N − 1,N, and then serves these queues in the opposite (“down”) direction, i.e. visiting them in the order N,N−1,...,2,1. The server then changes direction again, and so on. A globally gating regime is used each time the server changes direction. We show that, for this Elevator scheme,the expected waiting times in all channels are equal. This is the only known non-symmetric polling system that exhibits such afairness phenomenon. We then discuss the problem of optimally ordering the queues so as to minimize some measure of variability of the waiting times.",1992,1992-03,11,2-Jan,85-90,"Altman, Eitan (French Institute for Research in Computer Science and Automation); Khamisy, Asad (Technion – Israel Institute of Technology); Yechiali, Uri (Tel Aviv University)",French Institute for Research in Computer Science and Automation; Tel Aviv University; Technion – Israel Institute of Technology,24,1,,67
10.1007/bf01158522,Exact and approximate numerical solutions of steady-state distributions arising in the queue GI/G/1,"In this paper we first obtain, in a unified way, closed-form analytic expressions in terms of roots of the so-called characteristic equation (c.e.), and then discuss the exact numerical solutions of steady-state distributions of (i) actual queueing time, (ii) virtual queueing time, (iii) actual idle time, and (iv) interdeparture time for the queue GI/R/1, where R denotes the class of distributions whose Laplace-Stieltjes transforms (LSTs) are rational functions (ratios of a polynomial of degree at mostn to a polynomial of degreen). For the purpose of numerical discussions of idle- and interdeparture-time distributions, the interarrival-time distribution is also taken to belong to the class R. It is also shown that numerical computations of the idle-time distribution of  R/G/1 queues can be done even ifG is not taken asR. Throughout the discussions it is assumed that the queue discipline is first-come-first-served (FCFS). For the tail of the actual queueing-time distribution of GI/R/1, approximations in terms of one or more roots of the c.e. are also discussed. If more than one root is used, they are taken in ascending order of magnitude. Numerical aspects have been tested for a variety of complex interarrival- and service-time distributions. The analysis is not restricted to generalized distributions with phases such as Coxian-n (Cn), but also covers nonphase type distributions such as uniform (U) and deterministic (D). Some numerical results are also presented in the form of tables and figures. It is expected that the results obtained from the present study should prove to be useful not only to practitioners, but also to queueing theorists who would like to test the accuracies of inequalities, bounds or approximations.",1992,1992-01,10,2-Jan,105-152,"Chaudhry, M. L. (Royal Military College of Canada); Agarwal, Manju (University of Delhi); Templeton, J. G. C. (University of Toronto)",University of Delhi; University of Toronto; Royal Military College of Canada,22,0,,83
10.1007/bf01163859,Maximal coupling and rare perturbation sensitivity analysis,"In this article, we introduce a new method for obtaining the ersatz sample derivatives useful in sensitivity analysis: the maximal coupling RPA method.",1992,1992-12,11,4,307-333,"Brémaud, P. (Laboratoire des Signaux & Systèmes)",Laboratoire des Signaux & Systèmes,21,0,,51
10.1007/bf01163863,Multiclass batch arrival retrial queues analyzed as branching processes with immigration,"The M/G/1 batch arrival retrial queue is studied by means of branching processes with immigration. We shall investigate this queue when traffic intensity is less than one, tends to one or is greater than one.",1992,1992-12,11,4,395-418,,,20,0,,113
10.1007/bf01158808,Diffusion approximation for GI/G/1 controlled queues,"A queueing model is considered in which a controller can increase the service rate. There is a holding cost represented by functionh and the service cost proportional to the increased rate with coefficientl. The objective is to minimize the total expected discounted cost.Whenh andl are small and the system operates in heavy traffic, the control problem can be approximated by a singular stochastic control problem for the Brownian motion, namely, the so-called “reflected follower” problem. The optimal policy in this problem is characterized by a single number z* so that the optimal process is a reflected diffusion in [0,z*]. To obtain z* one needs to solve a free boundary problem for the second order ordinary differential equation. For the original problem the policy which increases to the maximum the service rate when the normalized queue-length exceeds z* is approximately optimal.",1992,1992-09,12,4-Mar,333-367,"Krichagina, E. V. (University of Toronto); Taksar, M. I. (Stony Brook University)",University of Toronto; Stony Brook University,20,3,,90
10.1007/bf01193323,Exponential two server queue withN-policy and general vacations,"An M/M/2 queueing system with vacations is studied in which two servers keep working until there are no customers, and then one of the two servers takes a vacation. The remaining server does not leave the system during the vacation, and keeps serving the arriving customers. The duration of vacation is general. We study both theN-policy multiple vacation model and the single vacation model. This paper is concerned with the determination of the stationary distribution of the number of customers in the systems, and their decomposition structures.",1992,1992-12,10,4,279-294,"Igaki, Nobuko (Nagoya University)",Nagoya University,18,0,,89
10.1007/bf01193327,Some analytical results for congestion in subscriber line modules,"In modern telephone exchanges, subscriber lines are usually connected to the so-called subscriber line modules. These modules serve both incoming and outgoing traffic. An important difference between these two types of calls lies in the fact that in the case of blocking due to all channels busy in the module, outgoing calls can be queued whereas incoming calls get busy signal and must be re-initiated in order to establish the required connection. The corresponding queueing model was discussed recently by Lederman, but only the model with losses has been studied analytically. In the present contribution, we study the model which takes into account subscriber retrials and investigate some of its properties such as existence of stationary regime, derive explicit formulas for the system characteristics, limit theorems for systems under high repetition intensity of blocked calls and limit theorems for systems under heavy traffic.",1992,1992-12,10,4,381-402,"Khalil, Zohel (Concordia University); Falin, Guennadi (Lomonosov Moscow State University); Yang, Tao (Technical University of Nova Scotia)",Concordia University; Technical University of Nova Scotia; Lomonosov Moscow State University,16,1,,48
10.1007/bf01164005,Computation of the quasi-stationary distributions in M(n)/GI/1/K and GI/M(n)/1/K queues,"In this paper, we provide numerical means to compute the quasi-stationary (QS) distributions in M/GI/1/K queues with state-dependent arrivals and GI/M/1/K queues with state-dependent services. These queues are described as finite quasi-birth-death processes by approximating the general distributions in terms of phase-type distributions. Then, we reduce the problem of obtaining the QS distribution to determining the Perron-Frobenius eigenvalue of some Hessenberg matrix. Based on these arguments, we develop a numerical algorithm to compute the QS distributions. The doubly-limiting conditional distribution is also obtained by following this approach. Since the results obtained are free of phase-type representations, they are applicable for general distributions. Finally, numerical examples are given to demonstrate the power of our method.",1992,1992-09,11,3,255-272,"Kijima, Masaaki (University of Tsukuba); Makimoto, Naoki (Tokyo Institute of Technology)",University of Tsukuba; Tokyo Institute of Technology,14,0,,51
10.1007/bf01159208,Asymptotic behaviour of the loss probability of the M/G/1/K and G/M/1/K queues,"This paper investigates the asymptotic behaviour of the loss probability of the M/G/1/K and G/M/1/K queues as the buffer size increases. It is shown that the loss probability approaches its limiting value, which depends on the offered load, with an exponential decay in essentially all cases. The value of the decay rate can be easily computed from the main queue parameters. Moreover, the close relation existing between the loss behaviour of the two examined queueing systems is highlighted and a duality concept is introduced. Finally some numerical examples are given to illustrate on the usefulness of the asymptotic approximation.",1992,1992-09,10,3,235-247,"Baiocchi, Andrea (Sapienza University of Rome)",Sapienza University of Rome,13,1,,112
10.1007/bf01158799,Rate conservation principle for discrete-time queues,"We present a point-process approach to stationary discrete-time queues where arrivals and services are synchronized. The introduction of a Palm distribution enables us to discuss the ASTA (Arrivals See Time Averages) property, and to derive the rate conservation principle. By applying the principle to the discrete-time queues we present qualitative relationships between customer- and time-stationary distributions, including Little's and Brumelle's formulas.",1992,1992-09,12,4-Mar,215-229,,Tokyo University of Science,13,0,,85
10.1007/bf01163861,M/G/1/N vacation model with varying E-limited service discipline,"We define and analyze an M/G/1/N vacation model that uses a service discipline that we call theE-limited with limit variation discipline. According to this discipline, the server provides service until either the system is emptied (i.e. exhausted) or a randomly chosen limit ofl customers has been served. The server then goes on a vacation before returning to service the queue again. The queue length distribution and the Laplace-Stieltjes transforms of the waiting time, busy period and cycle time distributions are found. Further, an expression for the mean waiting time is developed. Several previously analyzed service disciplines, including Bernoulli scheduling, nonexhaustive service and limited service, are special cases of the general varying limit discipline that is analyzed in this paper.",1992,1992-12,11,4,357-375,"LaMaire, Richard O. (IBM Research - Thomas J. Watson Research Center)",IBM Research - Thomas J. Watson Research Center,11,0,,82
10.1007/bf01158809,Stationary waiting time derivatives,"We investigate the stability of waiting-time derivatives when inputs to a queueing system-service times and interarrival times-depend on a parameter. We give conditions under which the sequence of waiting-time derivatives admits a stationary distribution, and under which the derivatives converge to the stationary regime from all initial conditions. Further hypotheses ensure that the expectation of a stationary waiting-time derivative is, in fact, the derivative of the expected stationary waiting time. This validates the use of simulation-based infinitesimal perturbation analysis estimates with a variety of queueing processes.We examine waiting-time sequences satisfying recursive equations. Our basic assumption is that the input and its derivatives are stationary and ergodic. Under monotonicity conditions, the method of Loynes establishes the convergence of the derivatives. Even without such conditions, the derivatives obey a linear difference equation with random coefficients, and we exploit this fact to find stability conditions.",1992,1992-09,12,4-Mar,369-389,"Glasserman, Paul (Columbia University)",Columbia University,11,0,,59
10.1007/bf01158800,Monitoring the packet gap of real-time packet traffic,"Real-time packet traffic is characterized by a strict deadline on the end-to-end time delay and an upper bound on the information loss. Due to the high correlation among consecutive packets, the individual packet loss does not well characterize the performance of real-time packet sessions. An additional measure of packet loss is necessary to adequately assess the quality of each real-time connection. The additional measure considered here is the average number of consecutively lost packets, also called the average packet gap. We derive a closed form for the average packet gap for the multiclass G/G/m/B queueing system in equilibrium and show that it only depends on the loss behavior of two consecutive packets. This result considerably simplifies the monitoring process of real-time packet traffic sessions. If the packet loss process is markovian, the consecutive packet loss has a geometric distribution.",1992,1992-09,12,4-Mar,231-242,,Columbia University,10,0,3,42
10.1007/bf01159293,An approximate analysis of a cyclic server queue with limited service and reservations,"In this paper, we examine a queueing problem motivated by the pipeline polling protocol in satellite communications. The model is an extension of the cyclic queueing system withM-limited service. In this service mechanism, each queue, after receiving service on cyclej, makes a reservation for its service requirement in cycle j + 1. The main contribution to queueing theory is that we propose an approximation for the queue length and sojourn-time distributions for this discipline. Most approximate studies on cyclic queues, which have been considered before, examine the means only. Our method is an iterative one, which we prove to be convergent by using stochastic dominance arguments. We examine the performance of our algorithm by comparing it to simulations and show that the results are very good.",1992,1992-03,11,2-Jan,153-178,"Lee, Duan -Shin (NEC Corporation of America); Sengupta, Bhaskar (NEC Corporation of America)",NEC Corporation of America,10,0,,140
10.1007/bf01163865,Light traffic for workload in queues,"General exact light traffic limit theorems are given for the distribution of steadystate workloadV, in open queueing networks having as input a general stationary ergodic marked point process {(tn,Kn)n≥0 (where tn denotes the arrival time and Kn the routing and service times of the nth customer). No independence assumptions of any kind are required of the input. As the light traffic regime, it is only required that the Palm distribution for the exogenous interarrival time converges weakly to infinity (while the service mechanism is not allowed to change much). As is already known in the context of a single-server queue, work is much easier to deal with mathematically in light traffic than is customer delay D, and consequently, our results are far more general than existing results for D. We obtain analogous results for multi-channel and infinite-channel queues. In the context of open queueing networks, we handle both the total workload in the network as well as the workload at isolated nodes.",1992,1992-12,11,4,429-442,"Sigman, Karl (Columbia University)",Columbia University,9,0,,59
10.1007/bf01159292,A note on the pseudo-conservation law for a multi-queue with local priority,The pseudo-conservation law for a multi-queue system with non-preemptive priority (local priority) has recently been presented in Fournier and Rosberg [9]. This note points out that the result has independently been derived in Shimogawa and Takahashi [17]. The derivation of a mean waiting time approximation based on the pseudo-conservation law is also discussed.,1992,1992-03,11,2-Jan,145-151,,,9,0,,51
10.1007/bf01164002,A filtered ASTA property,"Recently, the PASTA (Poisson Arrivals See Time Averages) property has been extended to ASTA (Arrivals See Time Averages) by eliminating the need for Poisson arrivals and weakening the LAA (Lack of Anticipation Assumption). This paper presents a strengthening of ASTA under the original LAA of Wolff. We consider a stochastic processX with an associated point processN that admits a stochastic intensity and satisfies LAA. Various authors have noted in various contexts that ASTA holds if and only if the arrival intensity is state independent. For a class of point processes that includes doubly stochastic as well as ordinary Poisson processes, we prove that the point process obtained by restricting the process X to any given set of states not only has the same intensity but also the same probabilistic structure as the original point process. In particular, if the original point process is Poisson, the new point process is still Poisson with the same parameter as the original point process. For a discrete-time version, of interest in its own right, we provide a simple proof of a strengthened version of ASTA in discrete time. Unlike other discrete-time versions of ASTA, ours is valid for point processes with stationary but not necessarily independent increments. The continuous-time results are obtained using martingale theory. A corollary is a simple proof of PASTA under conditions that require only that the relevant limits exist. Our results may also provide some insight into characterizing Poisson flows in queueing systems.",1992,1992-09,11,3,211-222,"El-Taha, Muhammad (University of Southern Maine); Stidham, Shaler (University of North Carolina System)",University of Southern Maine; University of North Carolina System,8,1,,66
10.1007/bf01159207,Strong approximations for priority queues; head-of-the-line-first discipline,"In this paper, we obtain strong approximation theorems for a single server queue withr priority classes of customers and a head-of-the-line-first discipline. By using priority queues of preemptive-resume discipline as modified systems, we prove strong approximation theorems for the number of customers of each priority in the system at timet, the number of customers of each priority that have departed in the interval [0,t], the work load in service time of each priority class facing the server at timet, and the accumulated time in [0,t] during which there are neither customers of a given priority class nor customers of priority higher than that in the system.",1992,1992-09,10,3,213-233,"Zhang, Han-Qin (Chinese Academy of Sciences); Hsu, Guang-Hui (Chinese Academy of Sciences)",Chinese Academy of Sciences,8,1,,51
10.1007/bf01158803,Joint distributions in Poissonian tandem queues,A pair of single server queues arranged in series is considered. The input flow is Poisson and service times are mutually independent and exponentially distributed in each station. The joint distributions of the stationary waiting times and queue lengths at the arrival epoch are treated.,1992,1992-09,12,4-Mar,273-286,,,8,0,,104
10.1007/bf01163864,Sample path analysis of level crossings for the workload process,"We examine level crossings of sample paths of queueing processes and investigate the conditions under which the limiting empirical distribution for the workload process exists and is absolutely continuous. The connection between the density of the workload distribution and the rate of downcrossings is established as a sample path result that does not depend on any stochastic assumptions. As a corollary, we obtain the sample path version of the Takács formula connecting the time and customer stationary distributions in a queue. Defective limiting empirical distributions are considered and an expression for the mass at infinity is derived.",1992,1992-12,11,4,419-428,"Zazanis, Michael A. (Northwestern University)",Northwestern University,7,0,,58
10.1007/bf01193326,Exact and approximate numerical solutions to steady-state single-server queues: M/G/1 — a unified approach,"This paper presents a unified approach for the numerical solutions of an M/G/1 queue. On the assumption that the service-time distribution has a rational Laplace-Stieltjes transform (LST), explicit closed-form expressions have been obtained for moments, distributions of system length and waiting time (in queue) in terms of the roots of associated characteristic equations (c.e.'s). Approximate analyses for the tails of the distributions based on one or more roots are also discussed. Numerical aspects have been tested for a variety of complex service-time distributions including but not restricted to only mixed generalized Erlang and generalized hyperexponential. A sample of numerical computations is also included. It is hoped that the results obtained would prove to be beneficial to both practitioners and theorists dealing with bounds, inequalities, approximations, and other aspects.",1992,1992-12,10,4,351-379,"Chaudhry, M. L. (Royal Military College of Canada); Gupta, U. C. (Indian Institute of Technology Kharagpur); Agarwal, Manju (University of Delhi)",Indian Institute of Technology Kharagpur; Royal Military College of Canada; University of Delhi,7,1,,73
10.1007/bf01158806,Little's theorem: A stochastic integral approach,In a previous paper we have given a unified approach to the PASTA and the conditional PASTA property that is based upon the observation that the difference between the two limits can be represented as a stochastic integral with respect to a square integrable martingale. The equality of the two limits is then a consequence of a strong law of large numbers for martingales. In this paper we derive a non-standard version of Little's theorem via the same method. The moral of the story is that each of these theorems is but a particular case of a more general theory.,1992,1992-09,12,4-Mar,319-324,"Rosenkrantz, Walter A. (University of Massachusetts Amherst)",University of Massachusetts Amherst,7,0,,77
10.1007/bf01158802,Scheduling arrivals to a stochastic service mechanism,We consider the problem of scheduling the arrivals of a fixed number of customers to a stochastic service mechanism to minimize an expected cost associated with operating the system. We consider the special case of exponentially distributed service times and the problems in general associated with obtaining exact analytic solutions. For general service time distributions we obtain approximate numerical solutions using a stochastic version of gradient search employing Infinitesimal Perturbation Analysis estimates of the objective function gradient obtained via simulation.,1992,1992-09,12,4-Mar,257-272,"Healy, Kevin J. (Cornell University)",Cornell University,7,1,,45
10.1007/bf01159210,Counterexamples for comparisons of queues with finite waiting rooms,"We construct G/G/1/k queueing models that fail to have anticipated monotonicity properties with respect to the capacityk. In one model the long-run average number of customers in the system is arbitrarily close to the capacityk, but it decreases to an arbitrarily small value when the capacity is increased. In another model the throughput is arbitrarily close to the arrival rate when the capacity isk, but the throughput decreases to an arbitrarily small value when the capacity is increased. These examples involving non i.i.d. service times, which are associated with external arrivals instead of being assigned when service begins, show that stochastic assumptions and arguments involving more than direct sample-path comparisons are essential for obtaining useful bounds and positive comparison results.",1992,1992-09,10,3,271-278,"Whitt, Ward (Nokia (United States))",Nokia (United States),6,0,,45
10.1007/bf01159206,A discrete-time priority queue with two-class customers and bulk services,"This paper studies the behavior of a discrete queueing system which accepts synchronized arrivals and provides synchronized services. The number of arrivals occurring at an arriving point may follow any arbitrary discrete distribution possessing finite first moment and convergent probability generating function in ¦ z ¦ ⩽ 1 + ɛ with ɛ > 0. The system is equipped with an infinite buffer and one or more servers operating in synchronous mode. Service discipline may or may not be prioritized. Results such as the probability generating function of queue occupancy, average queue length, system throughput, and delay are derived in this paper. The validity of the results is also verified by computer simulations.",1992,1992-09,10,3,185-211,"Chang, Jin-Fu (National Taiwan University); Harn, Ywh-Pyng (Intel (United States))",National Taiwan University; Intel (United States),6,1,,68
10.1007/bf01158812,Correction note onL=λW,,1992,1992-09,12,4-Mar,431-432,"Whitt, Ward (Nokia (United States))",Nokia (United States),5,0,,164
10.1007/bf01193325,A new method of performance sensitivity analysis for non-Markovian queueing networks,"The paper develops a new method of calculating and estimating the sensitivities of a class of performance measures with respect to a parameter of the service or interarrival time distributions in queueing networks. The distribution functions may be of a general form. The study is based on perturbation analysis of queueing networks. A new concept, the realization factor of a perturbation, is introduced for the network studied. The properties of realization factors are discussed, and a set of linear differential equations specifying the realization factors are derived. The sensitivity of the steady-state performance with respect to a parameter can be expressed in a simple form using realization factors. Based on this, the sensitivity can be estimated by applying a perturbation analysis algorithm to a sample path of the system. We show that the derivative of the performance measure with respect to a parameter based on a single sample path converges with probability one to the derivative of the steady-state performance as the length of the sample path goes to infinity. The results provide a new analytical method of calculating performance sensitivities and justifies the application of perturbation analysis algorithms to non-Markovian queueing networks.",1992,1992-12,10,4,313-350,,,4,0,,54
10.1007/bf01164003,Mean delay analysis for a message priority-based polling scheme,"We consider a multi-access communication channel such as a centrally-controlled polling system, a distributed token-based ring, or a bus network. A message priority-based polling procedure is used to control the access to the channel. This procedure requires the server to have no advance information concerning the number of messages resident at a station prior to its visit to the station. Messages arriving at each station belong to one of two priority classes: class-1 (high priority) and class-2 (low priority). Class-1 messages are served under an exhaustive service discipline, while class-2 messages are served under a limited service discipline. Class-1 messages have non-preemptive priority over class-2 messages resident at the same station. Using a fully symmetric system model, an exact expression for the sum of the mean waiting times of class-1 and class-2 messages is first derived. Upper and lower bounds for the mean message waiting times for each individual message class are then obtained.",1992,1992-09,11,3,223-240,"Tsai, Zsehong (National Taiwan University); Rubin, Izhak (University of California, Los Angeles)","University of California, Los Angeles; National Taiwan University",4,0,,43
10.1007/bf01159284,Editorial introduction,,1992,1992-03,11,2-Jan,5-Jan,"Boxma, Onno J. (National Research Institute for Mathematics and Computer Science; Tilburg University); Takagi, Hideaki (IBM Research - Tokyo)",IBM Research - Tokyo; Tilburg University; National Research Institute for Mathematics and Computer Science,4,0,,40
10.1007/bf01158804,On the ergodicity conditions for stochastically recursive sequences,The ergodicity criterion for stochastically recursive sequences is given in terms of imbedded subsequences. Several examples are considered.,1992,1992-09,12,4-Mar,287-295,"Foss, S. G. (Novosibirsk State University)",Novosibirsk State University,3,0,,34
10.1007/bf01158801,Moment relationships for queues with Poisson input,"This paper presents new relationships between the higher-order moments of the FIFO and LIFO disciplines. These relationships hold over a class of queueing models that include M/G/1 queues with exceptional first service, M/G/1 queues with server vacations, and M/G/1 priority models. The results also generalize to a class of service disciplines that includes FIFO and LIFO as special cases.",1992,1992-09,12,4-Mar,243-256,"Iliadis, I. (IBM Research - Zurich); Fuhrmann, S. W. (IBM Research - Zurich)",IBM Research - Zurich,2,0,,40
10.1007/bf01164006,Insensitivity in discrete time queues with a moving server,"Queues in which customers request service consisting of an integral number of segments and in which the server moves from service station to service station are of considerable interest to practitioners working on digital communications networks. In this paper, we present “insensitivity” theorems and thereby equilibrium distributions for two discrete time queueing models in which the server may change from one customer to another after completion of each segment of service. In the first model, exactly one segment of service is provided at each time point whether or not an arrival occurs, while in the second model, at most one arrival or service occurs at each time point. In each model, customers of typet request a service time which consists ofl segments in succession with probability bt(l). Examples are given which illustrate the application of the theorems to round robin queues, to queues with a persistent server, and to queues in which server transition probabilities do not depend on the server's previous position. In addition, for models in which the probability that the server moves from one position to another depends only on the distance between the positions, an amalgamation procedure is proposed which gives an insensitive model on a coarse state space even though a queue may not be insensitive on the original state space. A model of Daduna and Schassberger is discussed in this context.",1992,1992-09,11,3,273-297,"Henderson, W. (University of Adelaide); Taylor, P. G. (University of Adelaide)",University of Adelaide,2,0,,40
